2016-10-07 16:28:21 - PHP Notice:  Undefined variable: entry_export in /var/www/html/sandet/public/admin/view/template/tool/backup.tpl on line 43
2016-10-17 4:02:01 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-17 8:27:26 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-17 8:44:24 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-17 11:25:48 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-17 11:25:48 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-17 11:25:49 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-17 11:25:49 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-17 11:25:49 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-17 11:25:49 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-17 11:25:49 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-17 11:25:49 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-17 11:25:50 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-17 11:25:50 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-17 11:59:01 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-17 12:32:42 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-17 22:53:08 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-17 23:52:30 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-17 23:56:01 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-18 0:36:38 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-18 9:04:58 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-18 16:58:02 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-19 9:47:02 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-19 9:47:02 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-19 9:47:02 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-19 9:47:02 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
